,epoch,train_loss,val_loss,time,learning rate
0,0,0.2589267427921295,0.24247931814193727,58.55844521522522,0.001
1,1,0.23687577674388885,0.22725686979293824,58.44456934928894,0.001
2,2,0.22043592636585235,0.21558637008666992,58.545918226242065,0.001
3,3,0.2125869515180588,0.20903934669494628,58.39103364944458,0.001
4,4,0.2080324637413025,0.20736256685256957,58.36125564575195,0.001
5,5,0.20503527917861938,0.20584709062576295,58.17416954040527,0.001
6,6,0.20186546092033386,0.205837056016922,58.16849994659424,0.001
7,7,0.19633021426200867,0.1932775382041931,58.29213309288025,0.001
8,8,0.18962057552337647,0.1856311893939972,58.15424060821533,0.001
9,9,0.18510761713981627,0.18259010305404663,58.16443371772766,0.001
10,10,0.18203341493606567,0.18181172649860383,60.69598722457886,0.001
11,11,0.18101792564392089,0.17963059678077697,58.18396806716919,0.001
12,12,0.1788393283367157,0.17899297676086426,58.287649154663086,0.001
13,13,0.17844629228115083,0.17833883965015412,58.276384592056274,0.001
14,14,0.17748414001464843,0.17773126089572908,59.93134546279907,0.001
15,15,0.17722467737197875,0.17668430495262147,58.40577840805054,0.001
16,16,0.17678905293941496,0.17657149102687836,58.33047819137573,0.001
17,17,0.17598794538974763,0.1760901569366455,58.50173473358154,0.001
18,18,0.17623690998554228,0.17683034663200378,58.31221556663513,0.001
19,19,0.1765403614759445,0.17515355014801026,58.442187786102295,0.0003981071705534973
20,20,0.1744610681295395,0.1745274294614792,59.11975359916687,0.0006309573444801933
21,21,0.17396780614852905,0.1741673202753067,58.42680311203003,0.0006309573444801933
22,22,0.17373746008872987,0.1740584939956665,58.40218448638916,0.0006309573444801933
23,23,0.17374003257751464,0.1739096331834793,58.48113393783569,0.0006309573444801933
24,24,0.17347558505535127,0.17360145695209503,58.303855180740356,0.0006309573444801933
25,25,0.17332308962345122,0.1737529333114624,58.296255588531494,0.0006309573444801933
26,26,0.17323842763900757,0.1735911817073822,58.29271626472473,0.0006309573444801933
27,27,0.17303235716819762,0.17340785174369813,58.314292192459106,0.0006309573444801933
28,28,0.1728315866947174,0.17315110182762147,58.39860653877258,0.0006309573444801933
29,29,0.1728483341217041,0.17307879049777986,58.6051025390625,0.0006309573444801933
30,30,0.17249833602905273,0.1728575399160385,58.29440641403198,0.0006309573444801933
31,31,0.17237835903167725,0.17298762080669403,58.34047770500183,0.0006309573444801933
32,32,0.1722782553434372,0.172846648812294,58.30735754966736,0.0006309573444801933
33,33,0.1722584990978241,0.1726622146844864,58.40024280548096,0.0006309573444801933
34,34,0.1721330489873886,0.17302854113578797,58.28520441055298,0.0006309573444801933
35,35,0.17201958785057067,0.17311485786437988,58.326950788497925,0.0006309573444801933
36,36,0.17181153812408448,0.172489675283432,58.34031653404236,0.0006309573444801933
37,37,0.1718416337251663,0.17254034600257873,58.45981526374817,0.0006309573444801933
38,38,0.17212307746410369,0.17244532508850097,58.43074989318848,0.0006309573444801933
39,39,0.17255943946838379,0.17263774104118348,58.290565967559814,0.00025118864315095806
40,40,0.171496653342247,0.17161969769001006,58.51129508018494,0.0003981071705534973
41,41,0.1710765986442566,0.17145224013328553,58.32719874382019,0.0003981071705534973
42,42,0.17092063112258912,0.17139192202091216,58.31546688079834,0.0003981071705534973
43,43,0.17082080328464508,0.17140774264335631,58.41028904914856,0.0003981071705534973
44,44,0.17072582020759583,0.17134622480869294,58.36911869049072,0.0003981071705534973
45,45,0.1706479504108429,0.17133377368450164,59.438026666641235,0.0003981071705534973
46,46,0.17056718189716338,0.17124973034858704,58.66789674758911,0.0003981071705534973
47,47,0.17048670477867126,0.17124127378463744,58.57147932052612,0.0003981071705534973
48,48,0.1704467433452606,0.17115994837284088,58.47992730140686,0.0003981071705534973
49,49,0.17060017280578613,0.17143652818202973,58.41744136810303,0.0003981071705534973
50,50,0.1706643347263336,0.17132173345088958,58.79450845718384,0.0003981071705534973
51,51,0.1703878398180008,0.1711182104587555,58.41808748245239,0.0003981071705534973
52,52,0.17025956797599792,0.17107135481834412,58.38752198219299,0.0003981071705534973
53,53,0.1701332471370697,0.17101787729263307,58.4027898311615,0.0003981071705534973
54,54,0.17010093932151796,0.17114895279407502,61.12830948829651,0.0003981071705534973
55,55,0.1702302195072174,0.17138349118232726,58.40520644187927,0.0003981071705534973
56,56,0.1701873696565628,0.17102739453315735,58.35862159729004,0.0003981071705534973
57,57,0.16997743504047394,0.17093607103824615,58.41516041755676,0.0003981071705534973
58,58,0.16990273666381836,0.17110670380592347,58.34239864349365,0.0003981071705534973
59,59,0.1698805769920349,0.17104397432804108,59.744384765625,0.0001584893192461114
60,60,0.16974180171489717,0.17056590669155122,59.39257216453552,0.00025118864315095806
61,61,0.16957339706420899,0.1705218402862549,58.351282596588135,0.00025118864315095806
62,62,0.16948295397758484,0.17051476707458496,58.04826760292053,0.00025118864315095806
63,63,0.16942229690551758,0.17050938429832457,57.9436514377594,0.00025118864315095806
64,64,0.16937124409675597,0.17050627737045287,62.84425210952759,0.00025118864315095806
65,65,0.16931726303100586,0.1704637395143509,57.88563847541809,0.00025118864315095806
66,66,0.1694147298812866,0.1705315253019333,57.88853192329407,0.00025118864315095806
67,67,0.16934030604362488,0.17044285798072814,57.89925456047058,0.00025118864315095806
68,68,0.1692121057987213,0.17039731552600862,57.90455341339111,0.00025118864315095806
69,69,0.16915642564296723,0.17038809118270873,57.95618796348572,0.00025118864315095806
70,70,0.16915346868038178,0.17043673660755157,58.84631419181824,0.00025118864315095806
71,71,0.16908287515640258,0.17029894380569457,57.88010239601135,0.00025118864315095806
